,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,FALSE
Burmy,Bug,—,Shed Skin,—,Overcoat,Bug,—,016,4080,40,29,45,29,45,36,224,37.33,FALSE
Wormadam,Bug,Grass,Anticipation,—,Overcoat,Bug,—,016,4080,60,59,85,79,105,36,424,70.67,FALSE
Mothim,Bug,Flying,Swarm,—,Tinted Lens,Bug,—,016,4080,70,94,50,94,50,66,424,70.67,FALSE
Combee,Bug,Flying,Honey Gather,—,Hustle,Bug,—,016,4080,30,30,42,30,42,70,244,40.67,FALSE
Vespiquen,Bug,Flying,Pressure,—,Unnerve,Bug,—,016,4080,70,80,102,80,102,40,474,79.00,FALSE
Pachirisu,Electric,—,Run Away,Pickup,Volt Absorb,Field,Fairy,011,2805,60,45,70,45,90,95,405,67.50,FALSE
Buizel,Water,—,Swift Swim,—,Water Veil,Water 1,Field,021,5355,55,65,35,60,30,85,330,55.00,FALSE
Floatzel,Water,—,Swift Swim,—,Water Veil,Water 1,Field,021,5355,85,105,55,85,50,115,495,82.50,FALSE
Cherubi,Grass,—,Chlorophyll,—,—,Fairy,Grass,021,5355,45,35,45,62,53,35,275,45.83,FALSE
Cherrim,Grass,—,Flower Gift,—,—,Fairy,Grass,021,5355,70,60,70,87,78,85,450,75.00,FALSE
Shellos,Water,—,Sticky Hold,Storm Drain,Sand Force,Water 1,Amorphous,021,5355,76,48,48,57,62,34,325,54.17,FALSE
Gastrodon,Water,Ground,Sticky Hold,Storm Drain,Sand Force,Water 1,Amorphous,021,5355,111,83,68,92,82,39,475,79.17,FALSE
Ambipom,Normal,—,Technician,Pickup,Skill Link,Field,—,021,5355,75,100,66,60,66,115,482,80.33,FALSE
Drifloon,Ghost,Flying,Aftermath,Unburden,Flare Boost,Amorphous,—,031,7905,90,50,34,60,44,70,348,58.00,FALSE
Drifblim,Ghost,Flying,Aftermath,Unburden,Flare Boost,Amorphous,—,031,7905,150,80,44,90,54,80,498,83.00,FALSE
Buneary,Normal,—,Run Away,Klutz,Limber,Field,Human-Like,021,5355,55,66,44,44,56,85,350,58.33,FALSE
Lopunny,Normal,—,Cute Charm,Klutz,Limber,Field,Human-Like,021,5355,65,76,84,54,96,105,480,80.00,FALSE
Mismagius,Ghost,—,Levitate,—,—,Amorphous,—,026,6630,60,60,60,105,105,105,495,82.50,FALSE
Honchkrow,Dark,Flying,Insomnia,Super Luck,Moxie,Flying,—,021,5355,100,125,52,105,52,71,505,84.17,FALSE
Glameow,Normal,—,Limber,Own Tempo,Keen Eye,Field,—,021,5355,49,55,42,42,37,85,310,51.67,FALSE
Purugly,Normal,—,Thick Fat,Own Tempo,Defiant,Field,—,021,5355,71,82,64,64,59,112,452,75.33,FALSE
Chingling,Psychic,—,Levitate,—,—,Undiscovered,—,026,6630,45,30,50,65,50,45,285,47.50,FALSE
Stunky,Poison,Dark,Stench,Aftermath,Keen Eye,Field,—,021,5355,63,63,47,41,41,74,329,54.83,FALSE
Skuntank,Poison,Dark,Stench,Aftermath,Keen Eye,Field,—,021,5355,103,93,67,71,61,84,479,79.83,FALSE
Bronzor,Steel,Psychic,Levitate,Heatproof,Heavy Metal,Mineral,—,021,5355,57,24,86,24,86,23,300,50.00,FALSE
Bronzong,Steel,Psychic,Levitate,Heatproof,Heavy Metal,Mineral,—,021,5355,67,89,116,79,116,33,500,83.33,FALSE
Bonsly,Rock,—,Sturdy,Rock Head,Rattled,Undiscovered,—,021,5355,50,80,95,10,45,10,290,48.33,FALSE
Mime Jr.,Psychic,Fairy,Soundproof,Filter,Technician,Undiscovered,—,026,6630,20,25,45,70,90,60,310,51.67,FALSE
Happiny,Normal,—,Natural Cure,Serene Grace,Friend Guard,Undiscovered,—,041,10455,100,5,5,15,65,30,220,36.67,FALSE
Chatot,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,Flying,—,021,5355,76,65,45,92,42,91,411,68.50,FALSE
Spiritomb,Ghost,Dark,Pressure,—,Infiltrator,Amorphous,—,031,7905,50,92,108,92,108,35,485,80.83,FALSE
Gible,Dragon,Ground,Sand Veil,—,Rough Skin,Monster,Dragon,041,10455,58,70,45,40,45,42,300,50.00,FALSE
Gabite,Dragon,Ground,Sand Veil,—,Rough Skin,Monster,Dragon,041,10455,68,90,65,50,55,82,410,68.33,FALSE
Garchomp,Dragon,Ground,Sand Veil,—,Rough Skin,Monster,Dragon,041,10455,108,130,95,80,85,102,600,100.00,FALSE
Munchlax,Normal,—,Pickup,Thick Fat,Gluttony,Undiscovered,—,041,10455,135,85,40,40,85,5,390,65.00,FALSE
Riolu,Fighting,—,Steadfast,Inner Focus,Prankster,Undiscovered,—,026,6630,40,70,40,35,40,60,285,47.50,FALSE
Lucario,Fighting,Steel,Steadfast,Inner Focus,Justified,Field,Human-Like,026,6630,70,110,70,115,70,90,525,87.50,FALSE
Hippopotas,Ground,—,Sand Stream,—,Sand Force,Field,—,031,7905,68,72,78,38,42,32,330,55.00,FALSE
Hippowdon,Ground,—,Sand Stream,—,Sand Force,Field,—,031,7905,108,112,118,68,72,47,525,87.50,FALSE
Skorupi,Poison,Bug,Battle Armor,Sniper,Keen Eye,Bug,Water 3,021,5355,40,50,90,30,55,65,330,55.00,FALSE
Drapion,Poison,Dark,Battle Armor,Sniper,Keen Eye,Bug,Water 3,021,5355,70,90,110,60,75,95,500,83.33,FALSE
Croagunk,Poison,Fighting,Anticipation,Dry Skin,Poison Touch,Human-Like,—,011,2805,48,61,40,61,40,50,300,50.00,FALSE
Toxicroak,Poison,Fighting,Anticipation,Dry Skin,Poison Touch,Human-Like,—,011,2805,83,106,65,86,65,85,490,81.67,FALSE
Carnivine,Grass,—,Levitate,—,—,Grass,—,026,6630,74,100,72,90,72,46,454,75.67,FALSE
Finneon,Water,—,Swift Swim,Storm Drain,Water Veil,Water 2,—,021,5355,49,49,56,49,61,66,330,55.00,FALSE
Lumineon,Water,—,Swift Swim,Storm Drain,Water Veil,Water 2,—,021,5355,69,69,76,69,86,91,460,76.67,FALSE
Mantyke,Water,Flying,Swift Swim,Water Absorb,Water Veil,Undiscovered,—,026,6630,45,20,50,60,120,50,345,57.50,FALSE
Snover,Grass,Ice,Snow Warning,—,Soundproof,Monster,Grass,021,5355,60,62,50,62,60,40,334,55.67,FALSE
Abomasnow,Grass,Ice,Snow Warning,—,Soundproof,Monster,Grass,021,5355,90,92,75,92,85,60,494,82.33,FALSE
Weavile,Dark,Ice,Pressure,—,Pickpocket,Field,—,021,5355,70,120,65,45,85,125,510,85.00,FALSE
Magnezone,Electric,Steel,Magnet Pull,Sturdy,Analytic,Mineral,—,021,5355,70,70,115,130,90,60,535,89.17,FALSE
Lickilicky,Normal,—,Own Tempo,Oblivious,Cloud Nine,Monster,—,021,5355,110,85,95,80,95,50,515,85.83,FALSE
Rhyperior,Ground,Rock,Lightning Rod,Solid Rock,Reckless,Monster,Field,021,5355,115,140,130,55,55,40,535,89.17,FALSE
Tangrowth,Grass,—,Chlorophyll,Leaf Guard,Regenerator,Grass,—,021,5355,100,100,125,110,50,50,535,89.17,FALSE
Electivire,Electric,—,Motor Drive,—,Vital Spirit,Human-Like,—,026,6630,75,123,67,95,85,95,540,90.00,FALSE
Magmortar,Fire,—,Flame Body,—,Vital Spirit,Human-Like,—,026,6630,75,95,67,125,95,83,540,90.00,FALSE
Togekiss,Fairy,Flying,Hustle,Serene Grace,Super Luck,Flying,Fairy,011,2805,85,50,95,120,115,80,545,90.83,FALSE
Yanmega,Bug,Flying,Speed Boost,Tinted Lens,Frisk,Bug,—,021,5355,86,76,86,116,56,95,515,85.83,FALSE
Leafeon,Grass,—,Leaf Guard,—,Chlorophyll,Field,—,036,9180,65,110,130,60,65,95,525,87.50,FALSE
Glaceon,Ice,—,Snow Cloak,—,Ice Body,Field,—,036,9180,65,60,110,130,95,65,525,87.50,FALSE
Gliscor,Ground,Flying,Hyper Cutter,Sand Veil,Poison Heal,Bug,—,021,5355,75,95,125,45,75,95,510,85.00,FALSE
Mamoswine,Ice,Ground,Oblivious,Snow Cloak,Thick Fat,Field,—,021,5355,110,130,80,70,60,80,530,88.33,FALSE
Porygon-Z,Normal,—,Adaptability,Download,Analytic,Mineral,—,021,5355,85,80,70,135,75,90,535,89.17,FALSE
Gallade,Psychic,Fighting,Steadfast,—,Justified,Amorphous,—,021,5355,68,125,65,65,115,80,518,86.33,FALSE
Probopass,Rock,Steel,Sturdy,Magnet Pull,Sand Force,Mineral,—,021,5355,60,55,145,75,150,40,525,87.50,FALSE
Dusknoir,Ghost,—,Pressure,—,Frisk,Amorphous,—,026,6630,45,100,135,65,135,45,525,87.50,FALSE
Froslass,Ice,Ghost,Snow Cloak,—,Cursed Body,Fairy,Mineral,021,5355,70,80,70,80,70,110,480,80.00,FALSE
Rotom,Electric,Ghost,Levitate,—,—,Amorphous,—,021,5355,50,50,77,95,77,91,440,73.33,FALSE
Uxie,Psychic,—,Levitate,—,—,Undiscovered,—,081,20655,75,75,130,75,130,95,580,96.67,FALSE
Mesprit,Psychic,—,Levitate,—,—,Undiscovered,—,081,20655,80,105,105,105,105,80,580,96.67,FALSE
Azelf,Psychic,—,Levitate,—,—,Undiscovered,—,081,20655,75,125,70,125,70,115,580,96.67,FALSE
Dialga,Steel,Dragon,Pressure,—,Telepathy,Undiscovered,—,121,30855,100,120,120,150,100,90,680,113.33,FALSE
Palkia,Water,Dragon,Pressure,—,Telepathy,Undiscovered,—,121,30855,90,120,100,150,120,100,680,113.33,FALSE
Heatran,Fire,Steel,Flash Fire,—,Flame Body,Undiscovered,—,011,2805,91,90,106,130,106,77,600,100.00,FALSE
Regigigas,Normal,—,Slow Start,—,—,Undiscovered,—,121,30855,110,160,110,80,110,100,670,111.67,FALSE
Giratina,Ghost,Dragon,Pressure,—,Telepathy,Undiscovered,—,121,30855,150,100,120,100,120,90,680,113.33,FALSE
Cresselia,Psychic,—,Levitate,—,—,Undiscovered,—,121,30855,120,70,120,75,130,85,600,100.00,FALSE
Phione,Water,—,Hydration,—,—,Water 1,Fairy,041,10455,80,80,80,80,80,80,480,80.00,FALSE
Manaphy,Water,—,Hydration,—,—,Water 1,Fairy,011,2805,100,100,100,100,100,100,600,100.00,FALSE
Darkrai,Dark,—,Bad Dreams,—,—,Undiscovered,—,121,30855,70,90,90,135,90,125,600,100.00,FALSE
Shaymin,Grass,—,Natural Cure,—,—,Undiscovered,—,121,30855,100,100,100,100,100,100,600,100.00,FALSE
Arceus,Normal,—,Multitype,—,—,Undiscovered,—,121,30855,120,120,120,120,120,120,720,120.00,FALSE
Victini,Psychic,Fire,Victory Star,—,—,Undiscovered,—,121,30855,100,100,100,100,100,100,600,100.00,FALSE
Snivy,Grass,—,Overgrow,—,Contrary,Field,Grass,021,5355,45,45,55,45,55,63,308,51.33,FALSE
Servine,Grass,—,Overgrow,—,Contrary,Field,Grass,021,5355,60,60,75,60,75,83,413,68.83,FALSE
Serperior,Grass,—,Overgrow,—,Contrary,Field,Grass,021,5355,75,75,95,75,95,113,528,88.00,FALSE
Tepig,Fire,—,Blaze,—,Thick Fat,Field,—,021,5355,65,63,45,45,45,45,308,51.33,FALSE
Pignite,Fire,Fighting,Blaze,—,Thick Fat,Field,—,021,5355,90,93,55,70,55,55,418,69.67,FALSE
Emboar,Fire,Fighting,Blaze,—,Reckless,Field,—,021,5355,110,123,65,100,65,65,528,88.00,FALSE
Oshawott,Water,—,Torrent,—,Shell Armor,Field,—,021,5355,55,55,45,63,45,45,308,51.33,FALSE
Dewott,Water,—,Torrent,—,Shell Armor,Field,—,021,5355,75,75,60,83,60,60,413,68.83,FALSE
Samurott,Water,—,Torrent,—,Shell Armor,Field,—,021,5355,95,100,85,108,70,70,528,88.00,FALSE
Patrat,Normal,—,Run Away,Keen Eye,Analytic,Field,—,016,4080,45,55,39,35,39,42,255,42.50,FALSE
Watchog,Normal,—,Illuminate,Keen Eye,Analytic,Field,—,016,4080,60,85,69,60,69,77,420,70.00,FALSE
Lillipup,Normal,—,Vital Spirit,Pickup,Run Away,Field,—,016,4080,45,60,45,25,45,55,275,45.83,FALSE
Herdier,Normal,—,Intimidate,Sand Rush,Scrappy,Field,—,016,4080,65,80,65,35,65,60,370,61.67,FALSE
Stoutland,Normal,—,Intimidate,Sand Rush,Scrappy,Field,—,016,4080,85,110,90,45,90,80,500,83.33,FALSE
Purrloin,Dark,—,Limber,Unburden,Prankster,Field,—,021,5355,41,50,37,50,37,66,281,46.83,FALSE
Liepard,Dark,—,Limber,Unburden,Prankster,Field,—,021,5355,64,88,50,88,50,106,446,74.33,FALSE
Pansage,Grass,—,Gluttony,—,Overgrow,Field,—,021,5355,50,53,48,53,48,64,316,52.67,FALSE
Simisage,Grass,—,Gluttony,—,Overgrow,Field,—,021,5355,75,98,63,98,63,101,498,83.00,FALSE
Pansear,Fire,—,Gluttony,—,Blaze,Field,—,021,5355,50,53,48,53,48,64,316,52.67,FALSE
Simisear,Fire,—,Gluttony,—,Blaze,Field,—,021,5355,75,98,63,98,63,101,498,83.00,FALSE
Panpour,Water,—,Gluttony,—,Torrent,Field,—,021,5355,50,53,48,53,48,64,316,52.67,FALSE
Simipour,Water,—,Gluttony,—,Torrent,Field,—,021,5355,75,98,63,98,63,101,498,83.00,FALSE
Munna,Psychic,—,Forewarn,Synchronize,Telepathy,Field,—,011,2805,76,25,45,67,55,24,292,48.67,FALSE
Musharna,Psychic,—,Forewarn,Synchronize,Telepathy,Field,—,011,2805,116,55,85,107,95,29,487,81.17,FALSE
Pidove,Normal,Flying,Big Pecks,Super Luck,Rivalry,Flying,—,016,4080,50,55,50,36,30,43,264,44.00,FALSE
Tranquill,Normal,Flying,Big Pecks,Super Luck,Rivalry,Flying,—,016,4080,62,77,62,50,42,65,358,59.67,FALSE
Unfezant,Normal,Flying,Big Pecks,Super Luck,Rivalry,Flying,—,016,4080,80,115,80,65,55,93,488,81.33,FALSE
Blitzle,Electric,—,Lightning Rod,Motor Drive,Sap Sipper,Field,—,021,5355,45,60,32,50,32,76,295,49.17,FALSE
Zebstrika,Electric,—,Lightning Rod,Motor Drive,Sap Sipper,Field,—,021,5355,75,100,63,80,63,116,497,82.83,FALSE
Roggenrola,Rock,—,Sturdy,—,Sand Force,Mineral,—,016,4080,55,75,85,25,25,15,280,46.67,FALSE
Boldore,Rock,—,Sturdy,—,Sand Force,Mineral,—,016,4080,70,105,105,50,40,20,390,65.00,FALSE
Gigalith,Rock,—,Sturdy,—,Sand Force,Mineral,—,016,4080,85,135,130,60,80,25,515,85.83,FALSE
Woobat,Psychic,Flying,Unaware,Klutz,Simple,Field,Flying,016,4080,65,45,43,55,43,72,323,53.83,FALSE
Swoobat,Psychic,Flying,Unaware,Klutz,Simple,Field,Flying,016,4080,67,57,55,77,55,114,425,70.83,FALSE
Drilbur,Ground,—,Sand Rush,Sand Force,Mold Breaker,Field,—,021,5355,60,85,40,30,45,68,328,54.67,FALSE
Excadrill,Ground,Steel,Sand Rush,Sand Force,Mold Breaker,Field,—,021,5355,110,135,60,50,65,88,508,84.67,FALSE
Audino,Normal,—,Healer,Regenerator,Klutz,Fairy,—,021,5355,103,60,86,60,86,50,445,74.17,FALSE
Timburr,Fighting,—,Guts,Sheer Force,Iron Fist,Human-Like,—,021,5355,75,80,55,25,35,35,305,50.83,FALSE
Gurdurr,Fighting,—,Guts,Sheer Force,Iron Fist,Human-Like,—,021,5355,85,105,85,40,50,40,405,67.50,FALSE
Conkeldurr,Fighting,—,Guts,Sheer Force,Iron Fist,Human-Like,—,021,5355,105,140,95,55,65,45,505,84.17,FALSE
Tympole,Water,—,Swift Swim,Hydration,Water Absorb,Water 1,—,021,5355,50,50,40,50,40,64,294,49.00,FALSE
Palpitoad,Water,Ground,Swift Swim,Hydration,Water Absorb,Water 1,—,021,5355,75,65,55,65,55,69,384,64.00,FALSE
Seismitoad,Water,Ground,Swift Swim,Poison Touch,Water Absorb,Water 1,—,021,5355,105,95,75,85,75,74,509,84.83,FALSE
Throh,Fighting,—,Guts,Inner Focus,Mold Breaker,Human-Like,—,021,5355,120,100,85,30,85,45,465,77.50,FALSE
Sawk,Fighting,—,Sturdy,Inner Focus,Mold Breaker,Human-Like,—,021,5355,75,125,75,30,75,85,465,77.50,FALSE
Sewaddle,Bug,Grass,Swarm,Chlorophyll,Overcoat,Bug,—,016,4080,45,53,70,40,60,42,310,51.67,FALSE
Swadloon,Bug,Grass,Leaf Guard,Chlorophyll,Overcoat,Bug,—,016,4080,55,63,90,50,80,42,380,63.33,FALSE
Leavanny,Bug,Grass,Swarm,Chlorophyll,Overcoat,Bug,—,016,4080,75,103,80,70,80,92,500,83.33,FALSE
Venipede,Bug,Poison,Poison Point,Swarm,Speed Boost,Bug,—,016,4080,30,45,59,30,39,57,260,43.33,FALSE
Whirlipede,Bug,Poison,Poison Point,Swarm,Speed Boost,Bug,—,016,4080,40,55,99,40,79,47,360,60.00,FALSE
Scolipede,Bug,Poison,Poison Point,Swarm,Speed Boost,Bug,—,016,4080,60,100,89,55,69,112,485,80.83,FALSE
Cottonee,Grass,Fairy,Prankster,Infiltrator,Chlorophyll,Grass,Fairy,021,5355,40,27,60,37,50,66,280,46.67,FALSE
Whimsicott,Grass,Fairy,Prankster,Infiltrator,Chlorophyll,Grass,Fairy,021,5355,60,67,85,77,75,116,480,80.00,FALSE
Petilil,Grass,—,Chlorophyll,Own Tempo,Leaf Guard,Grass,—,021,5355,45,35,50,70,50,30,280,46.67,FALSE
Lilligant,Grass,—,Chlorophyll,Own Tempo,Leaf Guard,Grass,—,021,5355,70,60,75,110,75,90,480,80.00,FALSE
Basculin,Water,—,Reckless,Adaptability,Mold Breaker,Water 2,—,041,10455,70,92,65,80,55,98,460,76.67,FALSE
Sandile,Ground,Dark,Intimidate,Moxie,Anger Point,Field,—,021,5355,50,72,35,35,35,65,292,48.67,FALSE
Krokorok,Ground,Dark,Intimidate,Moxie,Anger Point,Field,—,021,5355,60,82,45,45,45,74,351,58.50,FALSE
Krookodile,Ground,Dark,Intimidate,Moxie,Anger Point,Field,—,021,5355,95,117,80,65,70,92,519,86.50,FALSE
Darumaka,Fire,—,Hustle,—,Inner Focus,Field,—,021,5355,70,90,45,15,45,50,315,52.50,FALSE
Darmanitan,Fire,—,Sheer Force,—,Zen Mode,Field,—,021,5355,105,140,55,30,55,95,480,80.00,FALSE
Maractus,Grass,—,Water Absorb,Chlorophyll,Storm Drain,Grass,—,021,5355,75,86,67,106,67,60,461,76.83,FALSE
Dwebble,Bug,Rock,Sturdy,Shell Armor,Weak Armor,Bug,Mineral,021,5355,50,65,85,35,35,55,325,54.17,FALSE
Crustle,Bug,Rock,Sturdy,Shell Armor,Weak Armor,Bug,Mineral,021,5355,70,105,125,65,75,45,485,80.83,FALSE
Scraggy,Dark,Fighting,Shed Skin,Moxie,Intimidate,Field,Dragon,016,4080,50,75,70,35,70,48,348,58.00,FALSE
Scrafty,Dark,Fighting,Shed Skin,Moxie,Intimidate,Field,Dragon,016,4080,65,90,115,45,115,58,488,81.33,FALSE
Sigilyph,Psychic,Flying,Wonder Skin,Magic Guard,Tinted Lens,Flying,—,021,5355,72,58,80,103,80,97,490,81.67,FALSE
Yamask,Ghost,—,Mummy,—,—,Mineral,Amorphous,026,6630,38,30,85,55,65,30,303,50.50,FALSE
Cofagrigus,Ghost,—,Mummy,—,—,Mineral,Amorphous,026,6630,58,50,145,95,105,30,483,80.50,FALSE
Tirtouga,Water,Rock,Solid Rock,Sturdy,Swift Swim,Water 1,Water 3,031,7905,54,78,103,53,45,22,355,59.17,FALSE
Carracosta,Water,Rock,Solid Rock,Sturdy,Swift Swim,Water 1,Water 3,031,7905,74,108,133,83,65,32,495,82.50,FALSE
Archen,Rock,Flying,Defeatist,—,—,Flying,Water 3,031,7905,55,112,45,74,45,70,401,66.83,FALSE
Archeops,Rock,Flying,Defeatist,—,—,Flying,Water 3,031,7905,75,140,65,112,65,110,567,94.50,FALSE
Trubbish,Poison,—,Stench,Sticky Hold,Aftermath,Mineral,—,021,5355,50,50,62,40,62,65,329,54.83,FALSE
Garbodor,Poison,—,Stench,Weak Armor,Aftermath,Mineral,—,021,5355,80,95,82,60,82,75,474,79.00,FALSE
Zorua,Dark,—,Illusion,—,—,Field,—,026,6630,40,65,40,80,40,65,330,55.00,FALSE
Zoroark,Dark,—,Illusion,—,—,Field,—,026,6630,60,105,60,120,60,105,510,85.00,FALSE
Minccino,Normal,—,Cute Charm,Technician,Skill Link,Field,—,016,4080,55,50,40,40,40,75,300,50.00,FALSE
Cinccino,Normal,—,Cute Charm,Technician,Skill Link,Field,—,016,4080,75,95,60,65,60,115,470,78.33,FALSE
Gothita,Psychic,—,Frisk,Competitive*,Shadow Tag,Human-Like,—,021,5355,45,30,50,55,65,45,290,48.33,FALSE
Gothorita,Psychic,—,Frisk,Competitive*,Shadow Tag,Human-Like,—,021,5355,60,45,70,75,85,55,390,65.00,FALSE
Gothitelle,Psychic,—,Frisk,Competitive*,Shadow Tag,Human-Like,—,021,5355,70,55,95,95,110,65,490,81.67,FALSE
Solosis,Psychic,—,Overcoat,Magic Guard,Regenerator,Amorphous,—,021,5355,45,30,40,105,50,20,290,48.33,FALSE
Duosion,Psychic,—,Overcoat,Magic Guard,Regenerator,Amorphous,—,021,5355,65,40,50,125,60,30,370,61.67,FALSE
Reuniclus,Psychic,—,Overcoat,Magic Guard,Regenerator,Amorphous,—,021,5355,110,65,75,125,85,30,490,81.67,FALSE
Ducklett,Water,Flying,Keen Eye,Big Pecks,Hydration,Water 1,Flying,021,5355,62,44,50,44,50,55,305,50.83,FALSE
Swanna,Water,Flying,Keen Eye,Big Pecks,Hydration,Water 1,Flying,021,5355,75,87,63,87,63,98,473,78.83,FALSE
Vanillite,Ice,—,Ice Body,—,Weak Armor,Mineral,—,021,5355,36,50,50,65,60,44,305,50.83,FALSE
Vanillish,Ice,—,Ice Body,—,Weak Armor,Mineral,—,021,5355,51,65,65,80,75,59,395,65.83,FALSE
Vanilluxe,Ice,—,Ice Body,—,Weak Armor,Mineral,—,021,5355,71,95,85,110,95,79,535,89.17,FALSE
Deerling,Normal,Grass,Chlorophyll,Sap Sipper,Serene Grace,Field,—,021,5355,60,60,50,40,50,75,335,55.83,FALSE
Sawsbuck,Normal,Grass,Chlorophyll,Sap Sipper,Serene Grace,Field,—,021,5355,80,100,70,60,70,95,475,79.17,FALSE
Emolga,Electric,Flying,Static,—,Motor Drive,Field,—,021,5355,55,75,60,75,60,103,428,71.33,FALSE
Karrablast,Bug,—,Swarm,Shed Skin,No Guard,Bug,—,016,4080,50,75,45,40,45,60,315,52.50,FALSE
Escavalier,Bug,Steel,Swarm,Shell Armor,Overcoat,Bug,—,016,4080,70,135,105,60,105,20,495,82.50,FALSE
Foongus,Grass,Poison,Effect Spore,—,Regenerator,Grass,—,021,5355,69,55,45,55,55,15,294,49.00,FALSE
Amoonguss,Grass,Poison,Effect Spore,—,Regenerator,Grass,—,021,5355,114,85,70,85,80,30,464,77.33,FALSE
Frillish,Water,Ghost,Water Absorb,Cursed Body,Damp,Amorphous,—,021,5355,55,40,50,65,85,40,335,55.83,FALSE
Jellicent,Water,Ghost,Water Absorb,Cursed Body,Damp,Amorphous,—,021,5355,100,60,70,85,105,60,480,80.00,FALSE
Alomomola,Water,—,Healer,Hydration,Regenerator,Water 1,Water 2,041,10455,165,75,80,40,45,65,470,78.33,FALSE
Joltik,Bug,Electric,Compound Eyes,Unnerve,Swarm,Bug,—,021,5355,50,47,50,57,50,65,319,53.17,FALSE
Galvantula,Bug,Electric,Compound Eyes,Unnerve,Swarm,Bug,—,021,5355,70,77,60,97,60,108,472,78.67,FALSE
Ferroseed,Grass,Steel,Iron Barbs,—,—,Grass,Mineral,021,5355,44,50,91,24,86,10,305,50.83,FALSE
Ferrothorn,Grass,Steel,Iron Barbs,—,Anticipation,Grass,Mineral,021,5355,74,94,131,54,116,20,489,81.50,FALSE
Klink,Steel,—,Plus,Minus,Clear Body,Mineral,—,021,5355,40,55,70,45,60,30,300,50.00,FALSE
Klang,Steel,—,Plus,Minus,Clear Body,Mineral,—,021,5355,60,80,95,70,85,50,440,73.33,FALSE
Klinklang,Steel,—,Plus,Minus,Clear Body,Mineral,—,021,5355,60,100,115,70,85,90,520,86.67,FALSE
Tynamo,Electric,—,Levitate,—,—,Amorphous,—,021,5355,35,55,40,45,40,60,275,45.83,FALSE
Eelektrik,Electric,—,Levitate,—,—,Amorphous,—,021,5355,65,85,70,75,70,40,405,67.50,FALSE
Eelektross,Electric,—,Levitate,—,—,Amorphous,—,021,5355,85,115,80,105,80,50,515,85.83,FALSE
Elgyem,Psychic,—,Telepathy,Synchronize,Analytic,Human-Like,—,021,5355,55,55,55,85,55,30,335,55.83,FALSE
Beheeyem,Psychic,—,Telepathy,Synchronize,Analytic,Human-Like,—,021,5355,75,75,75,125,95,40,485,80.83,FALSE
Litwick,Ghost,Fire,Flash Fire,Flame Body,Infiltrator,Amorphous,—,021,5355,50,30,55,65,55,20,275,45.83,FALSE
Lampent,Ghost,Fire,Flash Fire,Flame Body,Infiltrator,Amorphous,—,021,5355,60,40,60,95,60,55,370,61.67,FALSE
Chandelure,Ghost,Fire,Flash Fire,Flame Body,Infiltrator,Amorphous,—,021,5355,60,55,90,145,90,80,520,86.67,FALSE
Axew,Dragon,—,Rivalry,Mold Breaker,Unnerve,Monster,Dragon,041,10455,46,87,60,30,40,57,320,53.33,FALSE
Fraxure,Dragon,—,Rivalry,Mold Breaker,Unnerve,Monster,Dragon,041,10455,66,117,70,40,50,67,410,68.33,FALSE
Haxorus,Dragon,—,Rivalry,Mold Breaker,Unnerve,Monster,Dragon,041,10455,76,147,90,60,70,97,540,90.00,FALSE
Cubchoo,Ice,—,Snow Cloak,—,Rattled,Field,—,021,5355,55,70,40,60,40,40,305,50.83,FALSE
Beartic,Ice,—,Snow Cloak,—,Swift Swim,Field,—,021,5355,95,130,80,70,80,50,505,84.17,FALSE
Cryogonal,Ice,—,Levitate,—,—,Mineral,—,026,6630,80,50,50,95,135,105,515,85.83,FALSE
Shelmet,Bug,—,Hydration,Shell Armor,Overcoat,Bug,—,016,4080,50,40,85,40,65,25,305,50.83,FALSE
Accelgor,Bug,—,Hydration,Sticky Hold,Unburden,Bug,—,016,4080,80,70,40,100,60,145,495,82.50,FALSE
Stunfisk,Ground,Electric,Static,Limber,Sand Veil,Water 1,Amorphous,021,5355,109,66,84,81,99,32,471,78.50,FALSE
Mienfoo,Fighting,—,Inner Focus,Regenerator,Reckless,Field,Human-Like,026,6630,45,85,50,55,50,65,350,58.33,FALSE
Mienshao,Fighting,—,Inner Focus,Regenerator,Reckless,Field,Human-Like,026,6630,65,125,60,95,60,105,510,85.00,FALSE
Druddigon,Dragon,—,Rough Skin,Sheer Force,Mold Breaker,Dragon,Monster,031,7905,77,120,90,60,90,48,485,80.83,FALSE
Golett,Ground,Ghost,Iron Fist,Klutz,No Guard,Mineral,—,026,6630,59,74,50,35,50,35,303,50.50,FALSE
Golurk,Ground,Ghost,Iron Fist,Klutz,No Guard,Mineral,—,026,6630,89,124,80,55,80,55,483,80.50,FALSE
Pawniard,Dark,Steel,Defiant,Inner Focus,Pressure,Human-Like,—,021,5355,45,85,70,40,40,60,340,56.67,FALSE
Bisharp,Dark,Steel,Defiant,Inner Focus,Pressure,Human-Like,—,021,5355,65,125,100,60,70,70,490,81.67,FALSE
Bouffalant,Normal,—,Reckless,Sap Sipper,Soundproof,Field,—,021,5355,95,110,95,40,95,55,490,81.67,FALSE
Rufflet,Normal,Flying,Keen Eye,Sheer Force,Hustle,Flying,—,021,5355,70,83,50,37,50,60,350,58.33,FALSE
